Variant,Norm_Score%,Norm_Std,Wait_Avg,Time(s),Gens_Avg,Rows,Diff%_vs_full_hga
full_hga,55.15,0.0,0.75,1.138,27.23,30,0.0
full_hga_C101,99.38,1.4,26.43,3.081,47.2,5,44.23
full_hga_C201,91.26,3.86,10.86,9.574,64.6,5,36.11
full_hga_R101,93.43,2.26,14.4,2.751,45.0,5,38.28
full_hga_R201,82.91,3.47,9.62,15.389,105.0,5,27.76
full_hga_RC101,100.0,0.0,10.82,1.956,27.2,5,44.85
full_hga_RC201,93.18,0.78,9.43,11.792,90.6,5,38.03
no_diversity_check,52.54,4.85,6.43,1.207,26.7,30,-2.61
no_heuristic_init,55.15,0.0,0.75,1.364,31.1,30,0.0
no_insertion_mut,55.15,0.0,0.75,1.069,27.17,30,0.0
no_insertion_mut_C101,97.5,1.4,19.07,2.179,35.4,5,42.35
no_insertion_mut_C201,90.8,2.44,0.0,6.074,50.2,5,35.65
no_insertion_mut_R101,91.01,1.26,4.79,2.325,58.0,5,35.86
no_insertion_mut_R201,79.27,5.56,15.81,14.414,138.8,5,24.12
no_insertion_mut_RC101,100.0,0.0,9.36,1.456,30.8,5,44.85
no_insertion_mut_RC201,93.53,0.69,3.01,10.312,104.4,5,38.38
no_smart_repair,55.15,0.0,0.75,1.223,26.77,30,0.0
no_smart_repair_C101,98.12,1.71,19.07,2.969,40.4,5,42.97
no_smart_repair_C201,85.75,1.03,0.24,6.654,49.2,5,30.6
no_smart_repair_R101,91.72,2.1,2.08,3.19,53.0,5,36.57
no_smart_repair_R201,80.08,2.59,10.18,19.191,144.0,5,24.93
no_smart_repair_RC101,100.0,0.0,10.09,1.986,28.8,5,44.85
no_smart_repair_RC201,90.64,2.03,4.45,13.93,114.8,5,35.49
no_wait_penalty,55.15,0.0,0.75,1.263,27.37,30,0.0
no_wait_penalty_C101,98.12,1.71,24.38,2.498,38.0,5,42.97
no_wait_penalty_C201,93.33,2.98,47.53,7.627,54.6,5,38.18
no_wait_penalty_R101,92.42,1.13,17.95,2.281,40.6,5,37.27
