Param,Value,Norm_Score%,Norm_Std,Time(s),Gens,Norm_C101,Norm_C201,Norm_R101,Norm_R201,Norm_RC101,Norm_RC201
population_size,50.0,99.85,0.31,17.611,40.4,100.0,100.0,100.0,99.37,100.0,99.7
population_size,100.0,99.85,0.3,31.35,37.6,100.0,100.0,100.0,99.52,100.0,99.6
population_size,150.0,99.93,0.16,48.382,36.6,100.0,100.0,100.0,99.6,100.0,100.0
population_size,200.0,99.91,0.26,58.555,36.8,100.0,100.0,100.0,99.7,100.0,99.75
mutation_rate,0.3,99.92,0.19,25.133,37.5,100.0,100.0,100.0,99.52,100.0,100.0
mutation_rate,0.5,99.88,0.28,27.584,37.6,100.0,100.0,100.0,99.55,100.0,99.75
mutation_rate,0.7,99.85,0.3,28.465,37.6,100.0,100.0,100.0,99.52,100.0,99.6
mutation_rate,0.9,99.9,0.25,31.764,39.3,100.0,100.0,100.0,99.57,100.0,99.8
tournament_k,2.0,99.92,0.19,30.226,39.5,100.0,100.0,100.0,99.5,100.0,100.0
tournament_k,3.0,99.85,0.3,28.511,37.6,100.0,100.0,100.0,99.52,100.0,99.6
tournament_k,5.0,99.87,0.29,25.341,34.3,100.0,100.0,100.0,99.5,100.0,99.75
tournament_k,7.0,99.89,0.23,27.089,35.0,100.0,100.0,100.0,99.5,100.0,99.85
stagnation_limit,15.0,99.85,0.3,21.509,27.0,100.0,100.0,100.0,99.52,100.0,99.57
stagnation_limit,25.0,99.85,0.3,28.595,37.6,100.0,100.0,100.0,99.52,100.0,99.6
stagnation_limit,40.0,99.88,0.28,39.221,53.6,100.0,100.0,100.0,99.52,100.0,99.75
stagnation_limit,60.0,99.88,0.28,51.948,73.6,100.0,100.0,100.0,99.52,100.0,99.75
