Variant,Generation,Norm_Best_Mean,Norm_Best_Std,N_Runs
full_ma,1,96.1527,3.9149,30
full_ma,2,97.2801,3.2119,30
full_ma,3,97.88,2.6906,30
full_ma,4,98.2114,2.2537,30
full_ma,5,98.7243,1.7503,30
full_ma,6,98.85,1.5459,30
full_ma,7,99.023,1.3803,30
full_ma,8,99.1331,1.3697,30
full_ma,9,99.1833,1.3093,30
full_ma,10,99.2504,1.2014,30
full_ma,11,99.2922,1.1623,30
full_ma,12,99.3383,1.1004,30
full_ma,13,99.397,1.0193,30
full_ma,14,99.5058,0.7779,30
full_ma,15,99.5728,0.6752,30
full_ma,16,99.6062,0.6339,30
full_ma,17,99.6062,0.6339,30
full_ma,18,99.6482,0.5711,30
full_ma,19,99.6607,0.5456,30
full_ma,20,99.6775,0.5238,30
full_ma,21,99.6942,0.5101,30
full_ma,22,99.6942,0.5101,30
full_ma,23,99.7025,0.5003,30
full_ma,24,99.7445,0.4687,30
full_ma,25,99.7654,0.4289,30
full_ma,26,99.7834,0.4249,29
full_ma,27,99.6694,0.4909,19
full_ma,28,99.6545,0.3988,16
full_ma,29,99.6818,0.3971,15
full_ma,30,99.6818,0.3971,15
full_ma,31,99.704,0.3869,14
full_ma,32,99.704,0.3869,14
full_ma,33,99.6547,0.3979,12
full_ma,34,99.5856,0.4021,10
full_ma,35,99.5856,0.4021,10
full_ma,36,99.5856,0.4021,10
full_ma,37,99.5856,0.4021,10
full_ma,38,99.5856,0.4021,10
full_ma,39,99.5856,0.4021,10
full_ma,40,99.5982,0.4139,10
full_ma,41,99.5982,0.4139,10
full_ma,42,99.6233,0.4148,10
full_ma,43,99.6233,0.4148,10
full_ma,44,99.6372,0.4375,9
full_ma,45,99.6372,0.4375,9
full_ma,46,99.6372,0.4375,9
full_ma,47,99.7173,0.474,8
full_ma,48,99.7173,0.474,8
full_ma,49,99.7845,0.469,7
full_ma,50,99.7485,0.5031,6
full_ma,51,99.7485,0.5031,6
full_ma,52,99.6982,0.5454,5
full_ma,53,99.6982,0.5454,5
full_ma,54,99.9373,0.1255,4
full_ma,55,99.9164,0.1449,3
full_ma,56,99.9164,0.1449,3
full_ma,57,99.9164,0.1449,3
full_ma,58,99.9164,0.1449,3
full_ma,59,100.0,0.0,3
full_ma,60,100.0,0.0,3
full_ma,61,100.0,0.0,3
full_ma,62,100.0,0.0,3
full_ma,63,100.0,0.0,3
full_ma,64,100.0,0.0,3
full_ma,65,100.0,0.0,3
full_ma,66,100.0,0.0,2
full_ma,67,100.0,0.0,2
full_ma,68,100.0,0.0,2
full_ma,69,100.0,0.0,2
full_ma,70,100.0,0.0,2
full_ma,71,100.0,0.0,2
full_ma,72,100.0,0.0,2
full_ma,73,100.0,,1
full_ma,74,100.0,,1
full_ma,75,100.0,,1
full_ma,76,100.0,,1
full_ma,77,100.0,,1
full_ma,78,100.0,,1
full_ma,79,100.0,,1
full_ma,80,100.0,,1
full_ma,81,100.0,,1
full_ma,82,100.0,,1
full_ma,83,100.0,,1
full_ma,84,100.0,,1
no_smart_repair,1,95.1912,4.5077,30
no_smart_repair,2,96.1884,4.4228,30
no_smart_repair,3,96.7974,3.926,30
no_smart_repair,4,97.2462,3.3699,30
no_smart_repair,5,97.7086,3.0162,30
no_smart_repair,6,97.8844,2.8866,30
